names,places,links,imgs,scores,address,ranks
香格里拉手工艺品中心,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1356599.html,https://dimg04.c-ctrip.com/images/10030f0000007a1pw2F3E_C_220_140.jpg,4.6,香格里拉县独克宗古城金龙街1号(近月光广场),1
卡卓刀,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1451747.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,4.4,云南省迪庆藏族自治州香格里拉县长征大道卡卓刀,2
香巴拉手工艺,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1356608.html,https://dimg04.c-ctrip.com/images/100f0g0000007tkup3C25_C_220_140.jpg,4.5,香格里拉县建塘镇衮玛廊54号,3
天堂时光,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1408105.html,https://dimg04.c-ctrip.com/images/100b070000002bhuy21B3_C_220_140.jpg,4.6,香格里拉县 独克宗古城北门街40号扎史达吉酒店1楼(近四方街),4
云藏雪域土特产商行,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1356591.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,4.6,香格里拉县长征大道(近中国邮政，州林业局),5
藏记商行,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1356596.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,4.8,香格里拉县池慈卡街,6
亿家人购物中心,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1737228.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.0,虎跳峡镇农贸市场右侧,7
时光与树,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1893053.html,https://dimg04.c-ctrip.com/images/10070k000000d1qzpE886_C_220_140.jpg,4.7,仓房街11号,8
香格里拉唐卡画院,香格里拉,https://you.ctrip.com/shopping/xianggelila106/2067946.html,https://dimg04.c-ctrip.com/images/100ghk11519ktxso0EE93_C_220_140.jpg,4.6,古城商业街钢架房20号,9
碧塔海风景区(香格里拉东),香格里拉,https://you.ctrip.com/shopping/xianggelila106/1974217.html,https://dimg04.c-ctrip.com/images/0103l1200082q153x39D0_C_220_140.jpg,4.3,香格里拉东25公里,10
纳帕海-小卖部,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3811312.html,https://dimg04.c-ctrip.com/images/100r170000011dy8tAB46_C_220_140.jpg,5.0,迪庆藏族自治州香格里拉市纳帕海旅游景区达拉景点附近,11
珠穆朗玛商店,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3133343.html,https://dimg04.c-ctrip.com/images/010021200090zkbu8E513_C_220_140.png,5.0,建塘镇池廊硕14号,12
如果你也在这里旅行书店,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1832337.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M0A/CA/9D/Cghzf1W7TBeAEvW5AAA_rwrOyNg754_C_220_140.jpg,4.3,古城金龙街甸腊卡28号,13
九色鹿手工坊,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1735053.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M07/01/C2/CghzflW7TBaAEepGAAA_cKJq0PU514_C_220_140.jpg,5.0,独克宗古城金龙街东廊2号开心花园,14
名刀世家——卡萨刀,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1793185.html,https://dimg04.c-ctrip.com/images/1001190000016fjoi2065_C_220_140.jpg,3.0,原中甸镇、214国道旁,15
佳惠超市,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3203913.html,https://dimg04.c-ctrip.com/images/100e180000013pgq0217C_C_220_140.jpg,,云南省迪庆藏族自治州香格里拉市阳塘路61,16
易捷便利店(东环线),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3753039.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,东环线北50米,17
易捷便利店(金江线),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3108432.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,金江线与214国道交叉口北100米,18
易捷便利店(迪庆藏族自治州香格...,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3178878.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,迪庆藏族自治州香格里拉市,19
易捷便利店(康巴路),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3386717.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,康巴路萨龙大酒店东侧100米,20
易捷便利店(214国道),香格里拉,https://you.ctrip.com/shopping/xianggelila106/4107632.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,214国道东50米,21
易捷便利店(康珠大道),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3254403.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,迪庆藏族自治州香格里拉市康珠大道118号,22
易捷便利店(神鹰路),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3703093.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,,云南省迪庆藏族自治州香格里拉市建塘镇旺池路中国石化白塔加油站,23
百信超市(NO.2),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3779235.html,https://dimg04.c-ctrip.com/images/100g170000012ad1wED07_C_220_140.jpg,,中国云南省迪庆藏族自治州香格里拉市昌都路3号,24
太平洋百货,香格里拉,https://you.ctrip.com/shopping/xianggelila106/2321456.html,https://dimg03.c-ctrip.com/images/100g1800000146wwd4781_C_220_140.jpg,,东旺路21号,25
松赞林景区-商店,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3513775.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.0,迪庆藏族自治州香格里拉市尼旺路附近松赞林景区内,26
巴拉格宗香格里拉大峡谷国家公园...,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3981082.html,https://dimg04.c-ctrip.com/images/01A3v120009df5lq6DED4_C_220_140.jpg,,迪庆藏族自治州香格里拉市尼西乡巴拉社巴拉格宗香格里拉大峡谷国家公园内,27
康乐福超市普朗分店,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3374371.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,云南省迪庆藏族自治州香格里拉市,28
新华都超市,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3412089.html,https://dimg04.c-ctrip.com/images/10041700000128ni366E1_C_220_140.jpg,,迪庆藏族自治州香格里拉市达娃路23号,29
日月星城商业步行街,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3140875.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,池卜卡街,30
金桥购物广场,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70108623.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,迪庆藏族自治州香格里拉市东旺路28号,31
藏龙牦牛肉,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70110532.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,蓝月山谷石卡雪山景区附近,32
格咱清农布粮油门市,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70110536.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,云南省迪庆藏族自治州香格里拉市昌都路10号,33
凤仪粮行(康定路),香格里拉,https://you.ctrip.com/shopping/xianggelila106/70111512.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,康定路10号,34
林家语,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70108621.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,迪庆藏族自治州香格里拉市池卜卡商贸街7号,35
来思尔乳业江克销售点,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70110537.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,江克路与萨龙巷交叉口南50米,36
迪庆大商汇,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70109603.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,格咱路6号,37
香格里拉绿色无公害农产品交易市...,香格里拉,https://you.ctrip.com/shopping/xianggelila106/70110541.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,建塘镇东旺路50,38
香格里拉市富华小超市,香格里拉,https://you.ctrip.com/shopping/xianggelila106/2982431.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,,迪庆藏族自治州香格里拉市,39
民贸大楼(金江店),香格里拉,https://you.ctrip.com/shopping/xianggelila106/3988253.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,金江线江边工商所附近,40
向阳路农贸综合市场,香格里拉,https://you.ctrip.com/shopping/xianggelila106/1794609.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,东旺路75号(迪庆藏族自治州农牧局西),41
开文农家店,香格里拉,https://you.ctrip.com/shopping/xianggelila106/2994160.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,金江线附近,42
一条龙生鲜超市,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3513772.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,云南省迪庆藏族自治州香格里拉市尼旺路66号,43
香格里拉县真真超市,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3715999.html,https://dimg04.c-ctrip.com/images/100q0e0000006ysbhD1DC_C_220_140.jpg,,云南省迪庆藏族自治州香格里拉市康珠大道193,44
商业街,香格里拉,https://you.ctrip.com/shopping/xianggelila106/3854295.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,迪庆藏族自治州香格里拉市,45
盛世聚宝商厦,甘南,https://you.ctrip.com/shopping/hezuo2784/1357137.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.6,甘南州迭部县当周街,1
人民东街,甘南,https://you.ctrip.com/shopping/xiahe2792/1357131.html,https://dimg04.c-ctrip.com/images/100b0j000000aid0wD866_C_220_140.jpg,4.6,甘南州夏河县,2
银亿商场,甘南,https://you.ctrip.com/shopping/hezuo2784/1357135.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.1,甘南州合作市(近州政协),3
陕味源辣椒调料行,甘南,https://you.ctrip.com/shopping/lintan1446167/70115622.html,https://dimg03.c-ctrip.com/images/100t190000017xhg56974_C_220_140.jpg,5.0,西大街附近,4
瑾泉百货,甘南,https://you.ctrip.com/shopping/zhouqu1446163/2444221.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,5.0,西关街49号舟曲县人民医院附近,5
三好文具店,甘南,https://you.ctrip.com/shopping/lintan1446167/1716405.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M07/B3/FD/CghzgFW7TBiAfRNBAAA01L5tAw4655_C_220_140.jpg,5.0,正街财政局和地税局底商,6
东方百货超市,甘南,https://you.ctrip.com/shopping/diebu1446184/1724434.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.5,腊子口街105附近(迭部县城关小学附近),7
印尼进口法器商店,甘南,https://you.ctrip.com/shopping/xiahe2792/1779496.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.0,扎西奇街附近,8
雪域五明慈爱藏族服饰专卖店,甘南,https://you.ctrip.com/shopping/xiahe2792/2059784.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.0,扎西奇街附近,9
春暖花开鲜花店,甘南,https://you.ctrip.com/shopping/hezuo2784/4276749.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,甘南藏族自治州合作市东二路温州商业街华联超市隔壁二楼153号,10
甘南迭部扎尕那高原藏家乐,甘南,https://you.ctrip.com/shopping/diebu1446184/2431747.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,5.0,益哇乡扎尕那行政村业日自然村48号,11
佳和超市,甘南,https://you.ctrip.com/shopping/hezuo2784/3518338.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,甘肃省甘南藏族自治州合作市G213(知合玛路),12
华联超市(甘南店),甘南,https://you.ctrip.com/shopping/hezuo2784/3530872.html,https://dimg04.c-ctrip.com/images/100218000001457q3FEC3_C_220_140.jpg,,甘肃省甘南藏族自治州合作市通钦街道舟曲西路天一泓商住小区,13
兴隆大家庭,甘南,https://you.ctrip.com/shopping/hezuo2784/3568247.html,https://dimg04.c-ctrip.com/images/100i1700000128hkj2408_C_220_140.jpg,,甘肃省甘南藏族自治州合作市通钦街道兴隆超市,14
百盛购物中心,甘南,https://you.ctrip.com/shopping/lintan1446167/2323972.html,https://dimg03.c-ctrip.com/images/1003180000013xyzlE950_C_220_140.jpg,,Provincial Highway 306,15
银亿老乔水果,甘南,https://you.ctrip.com/shopping/hezuo2784/2046741.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,当周街银亿菜市场正门内右手第一家,16
利众藏药店,甘南,https://you.ctrip.com/shopping/xiahe2792/1762761.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,,人民东街91号,17
三和超市,甘南,https://you.ctrip.com/shopping/hezuo2784/3063137.html,https://dimg04.c-ctrip.com/images/10011800000141o8x568D_C_220_140.jpg,,甘肃省甘南藏族自治州合作市通钦街道甘南九色饭店,18
新世纪商场,甘南,https://you.ctrip.com/shopping/diebu1446184/3694524.html,https://dimg04.c-ctrip.com/images/100s18000001431aeB96C_C_220_140.jpg,,电尕乡中心广场迭部县人民政府附近,19
明珠超市,甘南,https://you.ctrip.com/shopping/maqu1446182/3492193.html,https://dimg05.c-ctrip.com/images/100c170000013brcdA50E_C_220_140.jpg,,曲隆街附近,20
临玛超市,甘南,https://you.ctrip.com/shopping/maqu1446182/3580527.html,https://dimg03.c-ctrip.com/images/100a0z000000nuuklD469_C_220_140.jpg,,乔干路与格萨尔西街交叉口东南50米,21
三和超市,甘南,https://you.ctrip.com/shopping/xiahe2792/3378907.html,https://dimg04.c-ctrip.com/images/10011800000141o8x568D_C_220_140.jpg,,甘肃省甘南藏族自治州夏河县,22
河南村蔬菜瓜果市场,甘南,https://you.ctrip.com/shopping/xiahe2792/70113697.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,桑曲东路桑曲西路路口附近,23
和平粮店,甘南,https://you.ctrip.com/shopping/hezuo2784/70115629.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,甘肃省甘南藏族自治州合作市通钦街道和平旅社,24
恒达购物广场,甘南,https://you.ctrip.com/shopping/lintan1446167/1871285.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,瓦采街,25
拉卜楞商厦,甘南,https://you.ctrip.com/shopping/xiahe2792/3173470.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,扎西奇街附近,26
利兴面粉销售点(合作市坚木克尔...,甘南,https://you.ctrip.com/shopping/hezuo2784/70112725.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,那吾路附近,27
永盛粮行,甘南,https://you.ctrip.com/shopping/zhouqu1446163/70112744.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,313省道附近,28
兴隆粮油经营部,甘南,https://you.ctrip.com/shopping/diebu1446184/70113709.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,华丹巷附近,29
鑫晟购物广场,甘南,https://you.ctrip.com/shopping/hezuo2784/3138441.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,甘肃省甘南藏族自治州合作市当周南街14号,30
万宝源商场,甘南,https://you.ctrip.com/shopping/hezuo2784/2323923.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,当周街,31
青峰购物广场,甘南,https://you.ctrip.com/shopping/zhouqu1446163/3647227.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,城关镇,32
东街水产经营部,甘南,https://you.ctrip.com/shopping/zhouqu1446163/70114626.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,城关南街附近,33
刚坚龙珠商场,甘南,https://you.ctrip.com/shopping/xiahe2792/2330864.html,https://dimg04.c-ctrip.com/images/0100x1200081p0ftx4E44_C_220_140.jpg,4.0,盘旋路,34
三鲜调料,甘南,https://you.ctrip.com/shopping/lintan1446167/70112726.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,306省道附近,35
安润购物广场,甘南,https://you.ctrip.com/shopping/diebu1446184/2438192.html,https://dimg04.c-ctrip.com/images/0103j120005xw3fid1FA5_C_220_140.jpg,4.0,腊子口街11附近,36
滨河商贸城,甘南,https://you.ctrip.com/shopping/zhouqu1446163/70112737.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,舟曲汽车站青峰大酒店附近,37
玛曲县黄河路扎西洋旦肉食蔬菜综...,甘南,https://you.ctrip.com/shopping/maqu1446182/70112743.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,南环路与玛扣路交叉口北150米,38
利民精品粮行,甘南,https://you.ctrip.com/shopping/zhouqu1446163/70113719.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,313省道黎民诊所附近,39
玉红蔬菜铺,甘南,https://you.ctrip.com/shopping/luqu2799/70114616.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,碌曲县其他勒尔多东路6号,40
欧丹诺增商场,甘南,https://you.ctrip.com/shopping/xiahe2792/2323994.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,人民东街91号,41
武威红太阳面粉集团甘青面粉直销...,甘南,https://you.ctrip.com/shopping/xiahe2792/70115618.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,腾志路附近,42
临潭县盐业有限责任公司城关盐业...,甘南,https://you.ctrip.com/shopping/lintan1446167/70115619.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,甘肃省甘南藏族自治州临潭县城关镇南街中国农业银行西南50米,43
禄霞新鲜瓜果蔬菜经销部,甘南,https://you.ctrip.com/shopping/hezuo2784/70115634.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,,舟曲东路附近,44
佛缘阁古玩,甘南,https://you.ctrip.com/shopping/xiahe2792/1744202.html,https://dimg04.c-ctrip.com/images/01044120008vpc41oC101_C_220_140.jpg,5.0,人民西街29号附近,45
新华路购物一条街,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1357159.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M01/CA/4A/CghzgVW7TBSARI-cAAA6ElKZY5c811_C_220_140.jpg,4.4,嘉峪关市新华路,1
东方百盛,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1357154.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.6,嘉峪关市城区新华北路,2
人民商城,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1357152.html,https://dimg04.c-ctrip.com/images/0104v12000404cdt30DD1_C_220_140.jpg,4.4,嘉峪关市，城区新华中路10号,3
新华百货,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1357156.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,4.4,嘉峪关市城区新华南路,4
华联超市,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1778542.html,https://dimg04.c-ctrip.com/images/100218000001457q3FEC3_C_220_140.jpg,4.8,东方百盛旁,5
圣果特产专卖店,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1808965.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/1E/CghzfVW7TBaAN__3AAA-SNUIFfg035_C_220_140.jpg,4.7,新华北路78a-附近(酒钢宾馆东侧100米),6
中国西部祁连玉奇石市场,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1722964.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,5.0,双拥路2059,7
中林商贸,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1723678.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.0,文轩路139号紫轩1期,8
欣荣平价商行,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1919283.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.0,迎宾西路1号附近,9
德康体育,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1870198.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M08/B4/1D/CghzfVW7TBWAIcNtAAA29xzKGmc176_C_220_140.jpg,4.0,人民商城对面(万汇圆),10
宇强平价超市,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1833203.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,4.3,胜利北路,11
三星专卖店(嘉峪关专卖店),嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/70134297.html,https://dimg04.c-ctrip.com/images/100p180000013lv1p3671_C_220_140.jpg,,嘉峪关市,12
百佳超市(四小区店),嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1961859.html,https://dimg04.c-ctrip.com/images/100a180000013zyzu5E36_C_220_140.jpg,,迎宾西路与前进南路交叉处向东300米路北,13
尚优凡品(新华北路),嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/2462865.html,https://dimg07.c-ctrip.com/images/1008180000013oxzw6141_C_220_140.jpg,,新华城苑78A-9-1,14
镜铁市场,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/70119828.html,https://dimg04.c-ctrip.com/images/0102x120008um2inkB8CE_C_220_140.jpg,3.0,新华中路,15
西部天地超市(雄关店),嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/2021936.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,兰新东路雄关商厦一楼,16
金伯利钻石,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/2039877.html,https://dimg04.c-ctrip.com/images/10051800000141fh55D16_C_220_140.jpg,,新华中路23附近,17
章光101(嘉峪关店),嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1976244.html,https://dimg04.c-ctrip.com/images/100h18000001438rg42CF_C_220_140.jpg,,迎宾东路18号附近,18
周大生珠宝(银泉金行店),嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1797943.html,https://dimg04.c-ctrip.com/images/100f180000013p87d3BA1_C_220_140.jpg,,新华中路25号金芙蓉1楼,19
哎呀呀,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/1800767.html,https://dimg04.c-ctrip.com/images/100u1700000129n5d1204_C_220_140.jpg,,大唐美食街,20
西部超市新华店,嘉峪关,https://you.ctrip.com/shopping/jiayuguan284/2022068.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,新华南路9号,21
